inhibit|억제하다, 못하게 하다
compulsory|강제적인, 의무적인, 필수의
insist|주장하다; 고집하다, 우기다
unify|통일하다, 통합하다
intuition|직관력; 직감, 직관
ridiculous|우스운, 터무니없는
initial|처음의, 초기의; 이름의 첫 글자
horizon|지평선, 수평선; 시야
activate|작동시키다, 활성화하다
separate|분리하다[되다]; 분리된; 별개의
pale|핏기 없는, 창백한; (색깔이) 옅은
translate|번역하다, 해석하다
pretend|~인 척하다, 가장하다
implication|함축, 암시; 영향, 결과
associate|연상하다, 연관 짓다; 교제하다
bond|유대(를 맺다); 속박; 채권
industrial|산업[공업]의; 공업용의
establish|수립하다, 설립하다
respectable|존경할 만한, 훌륭한
respectful|공손한, 존경[존중]하는
appropriate|적절한, 알맞은
precious|귀중한, 값비싼; 소중한
ruin|망치다; 파괴, 붕괴; 잔해
overcome|극복하다, 이겨내다
worship|숭배(하다); 예배(를 보다)
erase|지우다, 삭제하다
instruct|지시하다; 가르치다
pursue|추구하다; 뒤쫓다
perform|수행하다; 공연하다; 작동하다
restoration|복구, 복원; 회복
specific|구체적인, 명확한; 특정한
degree|정도; (각도·온도계의) 도; 학위
punish|처벌하다, 벌주다
whereas|그런데, ~에 반해서
respective|각각의, 개개의
comparative|비교의; 상대적인
aspect|측면, 방향
construct|건설하다; 구성하다; 구조물
splendid|화려한, 아주 인상적인
routine|틀에 박힌 일, 일과; 일상적인; 지루한
popularity|인기; 대중성
industrious|부지런한, 근면한
restrict|제한하다, 한정하다
unique|독특한; 유일(무이)한
treat|대우하다; 치료하다; 대접하다
successful|성공한, 성공적인
successive|연속적인, 연이은
population|인구, [모든] 주민
race|경주(하다); 인종
prohibit|금지하다; ~하지 못하게 하다
endeavor|노력(하다), 시도(하다)
raise|올리다; 모금하다; 기르다
distinguish|구별하다, 식별하다
prospect|가망, 가능성; 전망
illustrate|(예를 들어) 설명하다; 삽화를 넣다
trait|특성, 특징
shrink|줄어들다[줄어들게 하다]
assign|할당하다, 배정하다
equipment|장비, 용품; 설치, 설비
comparable|비슷한; ~에 필적하는
